,index,Feature name,Coefficients,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
89,89,total_current_balance: 41106 - 171561,0.12638380631826113,total_current_balance,2.2072829190816012,2.0,-0.20728291908160124,2.0
69,69,inquiries_6m: <=2,0.11718124612560829,inquiries_6m,2.046560952266396,2.0,-0.046560952266395894,2.0
80,80,credit_card_usage: <=18,0.11527694746278452,credit_card_usage,2.0133025306874797,2.0,-0.013302530687479663,2.0
28,28,annual_income: 82001-96000,0.13823143515408648,annual_income,2.4142007950560123,2.0,-0.41420079505601226,2.0
29,29,annual_income: 96001-120000,0.13296476160615506,annual_income,2.3222187690244995,2.0,-0.32221876902449953,2.0
30,30,annual_income: >= 120001,0.09468347973306174,annual_income,1.653639288309667,2.0,0.3463607116903329,2.0
13,13,purpose:car,0.11857617308301645,purpose,2.070923238354694,2.0,-0.07092323835469383,2.0
31,31,public_records: <=2,0.14133147898266749,public_records,2.4683428088991457,2.0,-0.4683428088991457,2.0
107,107,Region:London,0.05437568213354275,Region,0.9496668749201733,1.0,0.05033312507982668,1.0
56,56,delinquency_2y:9.0,0.062255193402139766,delinquency_2y,1.0872818996654139,1.0,-0.08728189966541389,1.0
130,130,"mths_since_issue_d:(72.0, 81.0]",0.0707525002032459,mths_since_issue_d,1.2356866732409622,1.0,-0.23568667324096215,1.0
26,26,annual_income: 34001-42000,0.04661721566300059,annual_income,0.8141658877480483,1.0,0.18583411225195168,1.0
88,88,total_current_balance: <=5051,0.06791146049391299,total_current_balance,1.1860681453177608,1.0,-0.18606814531776084,1.0
68,68,delinquency_2y:29.0,0.045527874548101956,delinquency_2y,0.7951406335955182,1.0,0.20485936640448177,1.0
119,119,income_category:22401-70000,0.040275208963250556,income_category,0.7034032555022061,1.0,0.29659674449779394,1.0
94,94,"nr_accounts:(34.0, 150.0]",0.06510606218203796,nr_accounts,1.137072091508236,1.0,-0.13707209150823596,1.0
